10,88.20746025,76.88226825,0.5551095,0.30984175
20,87.6609315,80.38341075,0.51876,0.3435485
30,86.8046965,82.32102225,0.49330275,0.3979555
40,86.61025875,81.985422,0.4918645,0.3798475
50,86.76847375,83.1857005,0.489803,0.41259625
60,86.83318,82.06430975,0.48395975,0.39175375
70,85.88599475,83.98921225,0.4736115,0.41022375
80,86.92245925,83.11343575,0.48660725,0.402415
90,86.1868285,84.24225475,0.46737825,0.42614825
100,86.3156215,84.150699,0.47272925,0.41846375
110,86.52937975,84.69177825,0.47569175,0.43378125
120,86.77629225,84.95371975,0.47733625,0.4323325
130,86.4883015,85.35874975,0.478141,0.44925125
140,86.71247825,84.63284025,0.47815475,0.43414775
150,86.25213875,84.830182,0.472188,0.43754375
