100,88.194597,0.523547
100,88.562586,0.528115
100,88.387193,0.525662
100,89.417864,0.544170
10,89.423369,0.575372
10,88.844589,0.563444
10,87.767346,0.564211
10,89.012175,0.584229
110,88.782410,0.523718
110,88.566748,0.524125
110,87.402526,0.514777
110,87.727638,0.509935
120,87.699985,0.513070
120,87.534474,0.515580
120,88.124268,0.527567
120,88.292906,0.546978
130,88.281151,0.510033
130,87.484150,0.505898
130,87.949384,0.502236
130,89.418016,0.545311
140,88.775256,0.518810
140,88.172659,0.520233
140,88.887672,0.529494
140,88.562457,0.516416
150,88.936342,0.526514
150,88.404257,0.522693
150,88.674420,0.521875
150,88.656899,0.526901
20,90.480861,0.592857
20,88.785094,0.563003
20,87.868599,0.531725
20,90.711996,0.584833
30,87.444786,0.522886
30,89.316767,0.545152
30,88.496378,0.538889
30,90.264280,0.589947
40,88.601281,0.540878
40,89.471777,0.564494
40,88.282931,0.513385
40,89.423024,0.540777
50,88.145602,0.532537
50,88.323634,0.545734
50,87.907154,0.513223
50,88.355811,0.533882
60,89.004010,0.529219
60,88.577849,0.538681
60,89.180603,0.547158
60,88.013458,0.535252
70,90.017993,0.561009
70,89.103957,0.540132
70,88.933575,0.533031
70,88.073512,0.535740
80,88.327324,0.525063
80,89.447235,0.532070
80,88.313957,0.530933
80,88.564923,0.530368
90,87.935309,0.508886
90,88.660799,0.530248
90,88.727443,0.519937
90,88.952897,0.529462
500,88.274218,0.518410
1000,87.745677,0.500351
