10,88.76186975,71.9049615,0.571814,0.244525
20,89.4616375,70.5797295,0.5681045,0.2327135
30,88.88055275,77.81862575,0.5492185,0.3363475
40,88.94475325,79.27494575,0.5398835,0.35272125
50,88.18305025,82.5200515,0.531344,0.39157725
60,88.69398,82.894935,0.5375775,0.407493
70,89.03225925,84.36483125,0.542478,0.43011275
80,88.66335975,83.35672275,0.5296085,0.40608075
90,88.569112,84.20309575,0.52213325,0.423209
100,88.64056,84.4771925,0.5303735,0.4240845
110,88.1198305,84.109836,0.51813875,0.433356
120,87.91290825,84.48037425,0.52579875,0.437391
130,88.28317525,85.5049975,0.5158695,0.445506
140,88.599511,85.286309,0.52123825,0.43613225
150,88.6679795,84.5827965,0.52449575,0.432841
500,88.274218,87.022098,0.51841,0.481387
1000,87.745677,87.227459,0.500351,0.494238
